Developer,Platform,Candidate Type,Dose Count,Dose Timing,Route,Phase 1 Desc,Phase 1/2 Desc,Phase 2 Desc,Phase 3 Desc,Clinical Phase,Clinical Stage,Coronavirus Target,Shared Platforms
University of Oxford/AstraZeneca,Non-Replicating Viral Vector,ChAdOx1-S,1,TBD,IM,,PACTR202006922165132 2020-001072-15 Interim Report,2020-001228-32,ISRCTN89951424 NCT04516746,Phase 3,Clinical,SARS-CoV-2,
CanSino Biological Inc./Beijing Institute of Biotechnology,Non-Replicating Viral Vector,Adenovirus Type 5 Vector,1,TBD,IM,ChiCTR2000030906 Study Report,,ChiCTR2000031781 Study Report,NCT04526990,Phase 3,Clinical,SARS-CoV-2,
Gamaleya Research Institute,Non-Replicating Viral Vector,Adeno-based (rAd26-S+rAd5-S),2,"0,21 days",IM,NCT04436471 NCT04437875 Study Report,,,NCT04530396,Phase 3,Clinical,SARS-CoV-2,
Janssen Pharmaceutical Companies,Non-Replicating Viral Vector,Ad26COVS1,2,"0,56 days",IM,,NCT04436276,,NCT04505722 (not yet recruiting),Phase 3,Clinical,SARS-CoV-2,
Sinovac,Inactivated,Inactivated,2,"0,14 days",IM,,NCT04383574 NCT04352608,,NCT04456595 669/UN6.KEP/EC/2020,Phase 3,Clinical,SARS-CoV-2,
Wuhan Institute of Biological Products/Sinopharm,Inactivated,Inactivated,2,"0,14 or 0,21 days",IM,,ChiCTR2000031809 Interim Report,,ChiCTR2000034780,Phase 3,Clinical,SARS-CoV-2,
Beijing Institute of Biological Products/Sinopharm,Inactivated,Inactivated,2,"0,14 or 0,21 days",IM,,ChiCTR2000032459,,ChiCTR2000034780,Phase 3,Clinical,SARS-CoV-2,
Moderna/NIAID,RNA,LNP-encapsulated mRNA,2,"0,28 days",IM,NCTO4283461 Interim Report,,NCT04405076,NCT04470427,Phase 3,Clinical,SARS-CoV-2,
BioNTech/Fosun Pharma/Pfizer,RNA,3 LNP-mRNAs,2,"0,28 days",IM,,2020-001038-36 ChiCTR2000034825 NCT04537949 Study Report,,NCT04368728,Phase 3,Clinical,SARS-CoV-2,
Novavax,Protein Subunit,Full length recombinant SARS CoV-2 glycoprotein nanoparticle vaccine adjuvanted with Matrix M,2,"0,21 days",IM,,NCT04368988 Study Report,NCT04533399 (phase 2b),,Phase 2,Clinical,SARS-CoV-2,
